adsorbate,adsorbate_name,config,e_int_dft,e_int_ave
A58,2224-HOCHCO,0,-0.655397,-0.6674542
A58,2224-HOCHCO,1,-0.667965,-0.6674542
A58,2224-HOCHCO,2,-0.645056,-0.6674542
A58,2224-HOCHCO,3,-0.624431,-0.6674542
A58,2224-HOCHCO,4,-0.744422,-0.6674542
A59,2225-HOCCOH,0,-1.178104,-0.9444102
A59,2225-HOCCOH,1,-1.077047,-0.9444102
A59,2225-HOCCOH,2,-0.793404,-0.9444102
A59,2225-HOCCOH,3,-0.944786,-0.9444102
A59,2225-HOCCOH,4,-0.72871,-0.9444102
A60,2301-CH3C,0,-0.193458,-0.2088384
A60,2301-CH3C,1,-0.168788,-0.2088384
A60,2301-CH3C,2,-0.303813,-0.2088384
A60,2301-CH3C,3,-0.269712,-0.2088384
A60,2301-CH3C,4,-0.108421,-0.2088384
A61,2302-CH2CH,0,-0.153025,-0.1704708
A61,2302-CH2CH,1,-0.2322,-0.1704708
A61,2302-CH2CH,2,-0.170254,-0.1704708
A61,2302-CH2CH,3,-0.165059,-0.1704708
A61,2302-CH2CH,4,-0.131816,-0.1704708
A62,2311-CH3CO,0,-0.218262,-0.1999592
A62,2311-CH3CO,1,-0.167102,-0.1999592
A62,2311-CH3CO,2,-0.212946,-0.1999592
A62,2311-CH3CO,3,-0.172237,-0.1999592
A62,2311-CH3CO,4,-0.229249,-0.1999592
A63,2312-CH2CHO,0,-0.155056,-0.2430282
A63,2312-CH2CHO,1,-0.268705,-0.2430282
A63,2312-CH2CHO,2,-0.269547,-0.2430282
A63,2312-CH2CHO,3,-0.325049,-0.2430282
A63,2312-CH2CHO,4,-0.196784,-0.2430282
A64,2313-CHCH2O,0,-0.26372,-0.3248764
A64,2313-CHCH2O,1,-0.31676,-0.3248764
A64,2313-CHCH2O,2,-0.2171,-0.3248764
A64,2313-CHCH2O,3,-0.227711,-0.3248764
A64,2313-CHCH2O,4,-0.599091,-0.3248764
A65,2314-CH2COH,0,-0.138955,-0.2590072
A65,2314-CH2COH,1,-0.265296,-0.2590072
A65,2314-CH2COH,2,-0.304683,-0.2590072
A65,2314-CH2COH,3,-0.279473,-0.2590072
A65,2314-CH2COH,4,-0.306629,-0.2590072
A66,2315-CHCHOH,0,-0.524938,-0.5092946
A66,2315-CHCHOH,1,-0.462736,-0.5092946
A66,2315-CHCHOH,2,-0.454385,-0.5092946
A66,2315-CHCHOH,3,-0.578616,-0.5092946
A66,2315-CHCHOH,4,-0.525798,-0.5092946
A67,2316-CCH2OH,0,-0.40526,-0.3044872
A67,2316-CCH2OH,1,-0.314543,-0.3044872
A67,2316-CCH2OH,2,-0.396252,-0.3044872
A67,2316-CCH2OH,3,-0.190193,-0.3044872
A67,2316-CCH2OH,4,-0.216188,-0.3044872
A68,2321-OCH2CHO,0,-0.561505,-0.5033062
A68,2321-OCH2CHO,1,-0.474172,-0.5033062
A68,2321-OCH2CHO,2,-0.371306,-0.5033062
A68,2321-OCH2CHO,3,-0.700254,-0.5033062
A68,2321-OCH2CHO,4,-0.409294,-0.5033062
A69,2322-HOCCH2O,0,-0.250911,-0.1716602
A69,2322-HOCCH2O,1,-0.139769,-0.1716602
A69,2322-HOCCH2O,2,-0.229391,-0.1716602
A69,2322-HOCCH2O,3,-0.108207,-0.1716602
A69,2322-HOCCH2O,4,-0.130023,-0.1716602
A70,2323-HOCHCHO,0,-0.264905,-0.3609354
A70,2323-HOCHCHO,1,-0.417111,-0.3609354
A70,2323-HOCHCHO,2,-0.393439,-0.3609354
A70,2323-HOCHCHO,3,-0.465115,-0.3609354
A70,2323-HOCHCHO,4,-0.264107,-0.3609354
A71,2324-OHCH2CO,0,-0.439473,-0.337057
A71,2324-OHCH2CO,1,-0.290396,-0.337057
A71,2324-OHCH2CO,2,-0.318115,-0.337057
A71,2324-OHCH2CO,3,-0.318386,-0.337057
A71,2324-OHCH2CO,4,-0.318915,-0.337057
A72,2401-CH3CH,0,-0.16841,-0.2204074
A72,2401-CH3CH,1,-0.191477,-0.2204074
A72,2401-CH3CH,2,-0.169511,-0.2204074
A72,2401-CH3CH,3,-0.263756,-0.2204074
A72,2401-CH3CH,4,-0.308883,-0.2204074
A73,2402-CH2CH2,0,-0.208918,-0.1961602
A73,2402-CH2CH2,1,-0.202863,-0.1961602
A73,2402-CH2CH2,2,-0.165502,-0.1961602
A73,2402-CH2CH2,3,-0.170277,-0.1961602
A73,2402-CH2CH2,4,-0.233241,-0.1961602
A74,2411-CH3CHO,0,-0.228864,-0.2562666
A74,2411-CH3CHO,1,-0.207814,-0.2562666
A74,2411-CH3CHO,2,-0.258305,-0.2562666
A74,2411-CH3CHO,3,-0.249623,-0.2562666
A74,2411-CH3CHO,4,-0.336727,-0.2562666
A75,2412-CH2CH2O,0,-0.277435,-0.3338846
A75,2412-CH2CH2O,1,-0.35211,-0.3338846
A75,2412-CH2CH2O,2,-0.378425,-0.3338846
A75,2412-CH2CH2O,3,-0.319768,-0.3338846
A75,2412-CH2CH2O,4,-0.341685,-0.3338846
A76,2413-CH3COH,0,-0.302065,-0.239339
A76,2413-CH3COH,1,-0.230627,-0.239339
A76,2413-CH3COH,2,-0.210605,-0.239339
A76,2413-CH3COH,3,-0.194331,-0.239339
A76,2413-CH3COH,4,-0.259067,-0.239339
A77,2414-CH2CHOH,0,-0.56304,-0.5359778
A77,2414-CH2CHOH,1,-0.52838,-0.5359778
A77,2414-CH2CHOH,2,-0.46472,-0.5359778
A77,2414-CH2CHOH,3,-0.322424,-0.5359778
A77,2414-CH2CHOH,4,-0.801325,-0.5359778
A78,2415-CHCH2OH,0,-0.433561,-0.341384
A78,2415-CHCH2OH,1,-0.198611,-0.341384
A78,2415-CHCH2OH,2,-0.409295,-0.341384
A78,2415-CHCH2OH,3,-0.361905,-0.341384
A78,2415-CHCH2OH,4,-0.303548,-0.341384
A79,2421-OCH2CH2O,0,-0.30203,-0.395172
A79,2421-OCH2CH2O,1,-0.427424,-0.395172
A79,2421-OCH2CH2O,2,-0.462126,-0.395172
A79,2421-OCH2CH2O,3,-0.475111,-0.395172
A79,2421-OCH2CH2O,4,-0.309169,-0.395172
A80,2422-HOCHCH2O,0,-0.244088,-0.4086872
A80,2422-HOCHCH2O,1,-0.258576,-0.4086872
A80,2422-HOCHCH2O,2,-0.387493,-0.4086872
A80,2422-HOCHCH2O,3,-0.663829,-0.4086872
A80,2422-HOCHCH2O,4,-0.48945,-0.4086872
A81,2423-HOCH2CHO,0,-0.582753,-0.405525
A81,2423-HOCH2CHO,1,-0.401875,-0.405525
A81,2423-HOCH2CHO,2,-0.339984,-0.405525
A81,2423-HOCH2CHO,3,-0.390427,-0.405525
A81,2423-HOCH2CHO,4,-0.312586,-0.405525
A82,2424-HOCH2COH,0,-0.211124,-0.2051726
A82,2424-HOCH2COH,1,-0.249407,-0.2051726
A82,2424-HOCH2COH,2,-0.226691,-0.2051726
A82,2424-HOCH2COH,3,-0.124461,-0.2051726
A82,2424-HOCH2COH,4,-0.21418,-0.2051726
A83,2425-HOCHCHOH,0,-0.562331,-0.5202918
A83,2425-HOCHCHOH,1,-0.641076,-0.5202918
A83,2425-HOCHCHOH,2,-0.647742,-0.5202918
A83,2425-HOCHCHOH,3,-0.505934,-0.5202918
A83,2425-HOCHCHOH,4,-0.244376,-0.5202918
A84,2501-CH3CH2,0,-0.1475,-0.1789938
A84,2501-CH3CH2,1,-0.134443,-0.1789938
A84,2501-CH3CH2,2,-0.178923,-0.1789938
A84,2501-CH3CH2,3,-0.231743,-0.1789938
A84,2501-CH3CH2,4,-0.20236,-0.1789938
A85,2511-CH3CH2O,0,-0.215232,-0.2234094
A85,2511-CH3CH2O,1,-0.225618,-0.2234094
A85,2511-CH3CH2O,2,-0.193416,-0.2234094
A85,2511-CH3CH2O,3,-0.252182,-0.2234094
A85,2511-CH3CH2O,4,-0.230599,-0.2234094
A86,2512-CH3CHOH,0,-0.356505,-0.417232
A86,2512-CH3CHOH,1,-0.323516,-0.417232
A86,2512-CH3CHOH,2,-0.498456,-0.417232
A86,2512-CH3CHOH,3,-0.490304,-0.417232
A86,2512-CH3CHOH,4,-0.417379,-0.417232
A87,2513-CH2CH2OH,0,-0.33705,-0.4114582
A87,2513-CH2CH2OH,1,-0.484089,-0.4114582
A87,2513-CH2CH2OH,2,-0.419328,-0.4114582
A87,2513-CH2CH2OH,3,-0.411464,-0.4114582
A87,2513-CH2CH2OH,4,-0.40536,-0.4114582
A88,2522-HOCH2CHOH,0,-1.100458,-0.94683
A88,2522-HOCH2CHOH,1,-1.131747,-0.94683
A88,2522-HOCH2CHOH,2,-0.904547,-0.94683
A88,2522-HOCH2CHOH,3,-0.999324,-0.94683
A88,2522-HOCH2CHOH,4,-0.598074,-0.94683
A89,2601-CH3CH3,0,-0.184274,-0.1900038
A89,2601-CH3CH3,1,-0.223844,-0.1900038
A89,2601-CH3CH3,2,-0.191316,-0.1900038
A89,2601-CH3CH3,3,-0.190256,-0.1900038
A89,2601-CH3CH3,4,-0.160329,-0.1900038
A90,2611-CH3CH2OH,0,-0.559747,-0.4189888
A90,2611-CH3CH2OH,1,-0.491629,-0.4189888
A90,2611-CH3CH2OH,2,-0.123952,-0.4189888
A90,2611-CH3CH2OH,3,-0.481949,-0.4189888
A90,2611-CH3CH2OH,4,-0.437667,-0.4189888
